0x7f06000f,LinearLayout
0x7f06000e,SeekBar
0x7f06000d,SeekBar
0x7f06000c,SeekBar
0x7f06000b,View
0x7f06000a,TextView
0x7f060018,ImageView
0x7f060019,TextView
0x7f060010,EditText
0x7f060011,RelativeLayout
0x7f060012,com.evilsunflower.reader.ui.ZLAndroidWidget
0x7f060013,TextView
0x7f060014,SeekBar
0x7f060015,TextView
0x7f060016,CheckBox
0x7f060017,android.webkit.WebView
0x7f060009,TextView
0x7f060008,Button
0x7f060007,Button
0x7f060006,TextView
0x7f060005,ListView
0x7f060004,ListView
0x7f060003,ListView
0x7f060002,TextView
0x7f060001,TextView
0x7f060000,ImageView
